,Tweet,Date,Time
0,"And I told y'all that morning on black lives matter got painted in the middle of the Capitol Street that made them\xe2\x80\xa6 https://t.co/stnQlhSwke""",2021-03-03,23:59:37
1,"William Hill and black lives matter do such important work I think the nobel isn't the award I'm thinking of.""",2021-03-03,23:58:35
2,RT @GRAND_SLAMMA: \xe2\x80\x9cMarching in a protest is a liberating experience. It\xe2\x80\x99s cathartic. It\xe2\x80\x99s one of the great moments you can have in your lif\xe2\x80\xa6',2021-03-03,23:58:12
3,"@0313RealT Gatorade, a sub company of Fortune 100's Pepsi Co. pledged $500,000 to BLM\nhttps://t.co/ODodSlB7Nn""",2021-03-03,23:57:41
4,Mike Brown\xe2\x80\x99s Father And Ferguson Protesters Demand $20 Million From Black Lives Matter https://t.co/eCJ5N41QEs via @dailycaller',2021-03-03,23:57:22
5,"'Where is all that money going?' Michael Brown's father says Black Lives Matter abandoned Ferguson activists, deman\xe2\x80\xa6 https://t.co/NokyVX6DTt""",2021-03-03,23:57:10
6,RT @CostOfNukes: Nothing about Jan 6 was due to lack of security resources. Capitol Police with management clearly sympathetic to the Trump\xe2\x80\xa6',2021-03-03,23:55:35
7,BLACK LIVES MATTER \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',2021-03-03,23:55:27
8,RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6',2021-03-03,23:55:22
9,ISREAL IS A YT COUNTRY \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fwith  YT PRIVILEGED IS SUPERIOR. OF COURSE THEY WOULD VACCINATE THEIR OWN TO SAVE THEIR\xe2\x80\xa6 https://t.co/EZt9YoXkGG',2021-03-03,23:55:05
10,FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt b\xe2\x80\xa6 https://t.co/vIWnSxeXUa',2021-03-03,23:55:04
11,"@Shakeer46480136 @common I tried to get a hold of black lives matter and I couldn't even find them.""",2021-03-03,23:54:34
12,RT @jaylynnandrus23: I cannot stop reading this... white privilege is real and Black Lives Matter',2021-03-03,23:54:29
13,black lives matter is helpful',2021-03-03,23:53:53
14,"RT @szarifeth: Black Lives still Matter. Don't forget.""",2021-03-03,23:53:13
15,Now they are saying there is a possible attack on our capital just like one organized by fascist democrats antifa a\xe2\x80\xa6 https://t.co/TJZfxP9DO2',2021-03-03,23:52:55
16,Black Lives Matter',2021-03-03,23:52:44
17,"RT @flippingtable: Wow feels like this is why Texas and Mississippi are trying to open. Just forget trying to help, let's just put more liv\xe2\x80\xa6""",2021-03-03,23:52:42
18,"@tw1xi3 write an essay on blm instead, and like use examples on how all lives cant matter until black lives do'",2021-03-03,23:52:33
19,Torn between two Worlds: Black on Black Crime and an unjust American policing and justice system! Black Lives Matte\xe2\x80\xa6 https://t.co/LRCNeCe2lo',2021-03-03,23:52:11
20,"RT @hookedblog: \xe2\x80\x98Racism is a Virus\xe2\x80\x99, London mural painted by artist @zabouartist. \n\nThe portrait is based on a photo taken during the Black\xe2\x80\xa6'",2021-03-03,23:51:37
21,Super Some Random Guy Joins a Black Lives Matter Protest And Kills Eggman With a Bottle of Milk 3D  64  . 2040 Sony',2021-03-03,23:51:26
22,"RT @xakana: Just a reminder that Black lives matter.\n\nWhich shouldn't need to be said, but it still does.\n\nFurther, Black trans lives matte\xe2\x80\xa6""",2021-03-03,23:51:25
23,RT @uclagymnastics: United in seeking racial equality. Black Lives Matter to us all. \n\xe2\x9c\x8a\xf0\x9f\x8f\xbf\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbc\xe2\x9c\x8a\xf0\x9f\x8f\xbb https://t.co/hBO2539YUv',2021-03-03,23:51:18
24,Statistical likelihood is why POC are scrutinized. What is it 13% of the population is responsible for over 50% of\xe2\x80\xa6 https://t.co/e4JMYWNeyg',2021-03-03,23:51:10
25,"RT @sciam: Police homicides have significantly decreased in most cities where #BlackLivesMatter protests occurred, a new study shows. https\xe2\x80\xa6'",2021-03-03,23:51:10
26,"Wow feels like this is why Texas and Mississippi are trying to open. Just forget trying to help, let's just put mor\xe2\x80\xa6 https://t.co/IR9zPiWYpo""",2021-03-03,23:50:50
27,RT @Stvphvn__: Black Lives Still Matter.. \xe2\x9c\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x96\xa4',2021-03-03,23:50:45
28,"Only black lives matter! When a black is attacked by a non black, that is century of discrimination and all MSM, po\xe2\x80\xa6 https://t.co/OoxVCkWLoP'",2021-03-03,23:49:58
29,"The first thing out of the mouth of McGuirk was about Black Lives Matter, then he mentioned Black Lives Matter a se\xe2\x80\xa6 https://t.co/BXe1k4zjBF'",2021-03-03,23:49:51
30,"Hmm, the Army thought deploying troops was just dandy for Black Lives Matter protests https://t.co/8yUbIS575V'",2021-03-03,23:49:50
31,"@WFLA Black Lives Matter, ANTIFA and all the leftist rioters - day after day,  you bet.'",2021-03-03,23:48:53
32,"As an in-house practitioner, Anitra mentions that you can\xe2\x80\x99t simply release a statement supporting a movement, like\xe2\x80\xa6 https://t.co/669DTScqTg'",2021-03-03,23:48:47
33,New study finds about 300 fewer police killings in cities where Black Lives Matter protests happened https://t.co/Mw0hDJ2XSS',2021-03-03,23:48:38
34,Donate to Building Strong Black Leaders &amp; Black Community\n\nIf you can take a moment to watch the video I think you\xe2\x80\xa6 https://t.co/OHXx5GrT7Y',2021-03-03,23:46:03
35,@Jim_Jordan JIm are youuuu there?    On the floor    What is with the black lives matter bla bla bla    Police  ref\xe2\x80\xa6 https://t.co/idpkOeudqp',2021-03-03,23:45:55
36,"Court Justice, Police and Prison reform now. Black Lives Matter!\nCurtis Flowers, wrongfully incarcerated for 23 yea\xe2\x80\xa6 https://t.co/GDiCkGgfDX'",2021-03-03,23:45:44
37,New study finds about 300 fewer police killings in cities where Black Lives Matter protests happened https://t.co/7y15gvX9em',2021-03-03,23:44:41
38,Well Well Well..\nSeems Biden thinks Black Lives Matter more than Asian Lives!\nBiden will do nothing to help the Asian Community! Corrupt!',2021-03-03,23:44:20
39,TELL US THAT BLACK LIVES MATTER IN PIERCE COUNTY.',2021-03-03,23:44:19
40,New study finds about 300 fewer police killings in cities where Black Lives Matter protests happened https://t.co/mXttT570k4',2021-03-03,23:43:47
41,RT @SophiaTesfaye: Killings by Police Declined after Black Lives Matter Protests https://t.co/hT1JeEcOlH',2021-03-03,23:43:43
42,"RT @PokerPolitics: Remember when QAnon went on that weeklong crusade against dancing nurses? Well now it's back but this time it's for poli\xe2\x80\xa6""",2021-03-03,23:43:19
43,RT @NavaBe2: \xe2\x80\x9cOur youth/ modern day monster slayers have been proactive in centering Black and Afro Indigenous voices. \xe2\x80\x9cBlack Lives Matter\xe2\x80\x9d\xe2\x80\xa6',2021-03-03,23:42:54
44,"RT @scobie: 10,000 formal complaints (and thousands of furious tweets) over a dance performance supporting the Black Lives Matter movement\xe2\x80\xa6'",2021-03-03,23:42:39
45,@turnerdetails @mks4only black lives matter??',2021-03-03,23:42:01
46,"Black lives matter up until they cast that vote. Then these fucks don't care https://t.co/AUg1sZnJfB""",2021-03-03,23:41:56
47,"@common This is why I say what I say. And I'd say it again. Black lives matter. https://t.co/nuhZvkwbDW""",2021-03-03,23:41:43
48,"RT @JoshuaSimonSays: If Dr. Seuss were alive today he\'d just be writing shit like\n\n""Black Lives Matter, \nShnack Lives Matter, \nEven Tanzifi\xe2\x80\xa6'",2021-03-03,23:41:40
49,"Always excited to share at the @acuiconference! Today, @Simply_Tari77 and I led a conversation regarding the Black\xe2\x80\xa6 https://t.co/rueZzoOS0D'",2021-03-03,23:41:37
50,RT @JARTRANADA: leave black people and the black lives matter movement out of this. they don\xe2\x80\x99t owe us anything.\n\ny\xe2\x80\x99all tweet out \xe2\x80\x9cpoc solid\xe2\x80\xa6',2021-03-03,23:41:31
51,Black lives matter they dont say that when we kill each other',2021-03-03,23:41:31
